,link,origem,destino,data_coleta,data_entrega,distancia,peso,caminhoes,pagina
2802,"https://www.truckpad.com.br/fretes/carga-de-rj/para-sp/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/er8ncox61p0kwjt17z5dxdnkm",RJ - Barra Mansa,SP - São José do Rio Preto,08/10,08/10,715 km,"25,0 Ton",['Carreta Toco'],1
2803,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-truck/carroceria-aberto-grade-baixa,sider/carga-agregamento/empresa-vai-brasil-transporte-logistica-distribuidora-ltda/83cfe2zw9d87n653z3f590wr2",SP - Itupeva,SP - São Paulo,08/10,08/10,71 km,"12,0 Ton",['Truck'],2
2804,"https://www.truckpad.com.br/fretes/carga-de-sp/para-df/veiculo-carreta-toco,carreta-ls-trucada/carroceria-aberto-grade-baixa,bau/carga-completa/empresa-fs4-logistica-transportes-eireli/2z5ljufr30c2hfm3zuwp2rjf1",SP - Guarulhos,DF - Brasília,05/10,05/10,1.014 km,"17,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",3
2805,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,carreta-ls-trucada/carroceria-sider/carga-agregamento/empresa-rhino-log-transporte-e-logistica-eireli-me/b6c76qvc0ropzlhy59xc56901",SP - Guarulhos,SP - Jacareí,08/10,08/10,64 km,"25,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",4
2806,"https://www.truckpad.com.br/fretes/carga-de-mg/para-sp/veiculo-carreta-toco/carroceria-bau,sider/carga-completa/empresa-fs4-logistica-transportes-eireli/66utlz1b8rs1a5hawzipjlvsl",MG - Extrema,SP - Guarulhos,01/10,01/10,101 km,"20,0 Ton",['Carreta Toco'],5
2807,"https://www.truckpad.com.br/fretes/carga-de-sp/para-df/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/414dbroq0zpw0wtad3bexijh1",SP - Piracicaba,DF - Brasília,02/10,02/10,891 km,"30,0 Ton",['Carreta LS Trucada'],6
2808,"https://www.truckpad.com.br/fretes/carga-de-mg/para-pr/veiculo-bi-truck,toco,truck,toco-3-4/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-agregamento/empresa-aubicon-industria-e-comercio-ltda/7lrsoh63vrqitzmu2312jhybw",MG - Extrema,PR - Colombo,09/10,09/10,505 km,"4,0 Ton","['Bi-Truck', 'Toco', 'Truck', 'Toco 3/4']",7
2809,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,carreta-ls-trucada/carroceria-bau/carga-completa/empresa-diavanti-solucoes-logisticas-ltda/1l4mjhabg91jj6hp2dut06r7v",SP - Itapevi,SP - Jacareí,03/10,03/10,113 km,"20,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",8
2810,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,carreta-ls-trucada/carroceria-bau,sider/carga-completa/empresa-gru-transportes/2s2jo8ha3jv5r516s6e6j7krm",SP - São Paulo,SP - Campinas,04/10,04/10,103 km,"22,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",9
2811,"https://www.truckpad.com.br/fretes/carga-de-sp/para-mg/veiculo-toco,vuc-hr,toco-3-4/carroceria-bau,sider/carga-complemento/empresa-sust-relac-logisticos-ltda/4wh2k2sx5gfnn3tcny29iv48v",SP - Carapicuíba,MG - Belo Horizonte,03/10,03/10,592 km,500 kg,"['Toco', 'VUC / HR', 'Toco 3/4']",10
2812,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-vuc-hr,van/carroceria-aberto-grade-baixa,bau/carga-completa/empresa-pedagio-transportes-ltd/gc0ovas8emrj3s0jy3ncr4l3",SP - São Paulo,SP - Itupeva,03/10,03/10,85 km,"1,3 Ton","['VUC / HR', 'Van']",11
