,link,origem,destino,data_coleta,data_entrega,distancia,peso,caminhoes,pagina
615,"https://www.truckpad.com.br/fretes/carga-de-pr/para-pr/veiculo-carreta-toco,bitrem,carreta-ls-trucada/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/5ylwxszix69jdjuzk8dgml47e",PR - Santa Mariana,PR - Arapoti,--,--,195 km,A combinar,"['Carreta Toco', 'Bitrem', 'Carreta LS Trucada']",11
614,"https://www.truckpad.com.br/fretes/carga-de-ms/para-sp/veiculo-bi-truck,carreta-toco,truck,rodotrem,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/9b4ggsya1qqthccfn56xqbm7e",MS - Maracaju,SP - Ibirarema,--,--,619 km,A combinar,"['Bi-Truck', 'Carreta Toco', 'Truck', 'Rodotrem', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",12
613,"https://www.truckpad.com.br/fretes/carga-de-mt/para-pr/veiculo-bi-truck,carreta-toco,truck,rodotrem,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/164xnk7houq8rsxip64cy02rl",MT - Campo Verde,PR - Paranaguá,--,--,1.711 km,A combinar,"['Bi-Truck', 'Carreta Toco', 'Truck', 'Rodotrem', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",13
612,"https://www.truckpad.com.br/fretes/carga-de-sp/para-pe/veiculo-bi-truck,toco,truck,toco-3-4/carroceria-bau/carga-completa/empresa-jair-lima/45wf7i1u503pzk9v5z390boo9",SP - Jandira,PE - Jaboatão dos Guararapes,03/10,03/10,2.617 km,70 kg,"['Bi-Truck', 'Toco', 'Truck', 'Toco 3/4']",14
611,https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-toco/carroceria-bau/carga-completa/empresa-construtora-parra/9p6xxnqd0js11h6aajepeirq4,SP - São Paulo,SP - Guarulhos,03/10,03/10,18 km,"2.000,0 Ton",['Toco'],15
610,https://www.truckpad.com.br/fretes/carga-de-pr/para-pr/veiculo-bitrem/carroceria-florestal/carga-completa/empresa-klabin/bz7dntrmetun56li1dja2r7hb,PR - Castro,PR - Ortigueira,03/10,03/10,162 km,"37,0 Ton",['Bitrem'],16
609,"https://www.truckpad.com.br/fretes/carga-de-go/para-go/veiculo-bi-truck,carreta-toco,truck,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/7ihm15ykri8rmm2c8n5rsni8g",GO - Catalão,GO - Silvânia,--,--,209 km,A combinar,"['Bi-Truck', 'Carreta Toco', 'Truck', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",17
608,"https://www.truckpad.com.br/fretes/carga-de-to/para-ma/veiculo-carreta-toco,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/a0vvekxwuofoq12cfuu6pkpos",TO - Guaraí,MA - São Luís,--,--,1.057 km,A combinar,"['Carreta Toco', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",18
607,https://www.truckpad.com.br/fretes/carga-de-sp/para-sc/veiculo-truck/carroceria-aberto-grade-baixa/carga-completa/empresa-manetoni-solucoes-em-aco/b02ua27ahimx9dlbo2cc0cdpx,SP - Piracicaba,SC - Jaraguá do Sul,03/10,03/10,791 km,"12,1 Ton",['Truck'],19
606,https://www.truckpad.com.br/fretes/carga-de-sp/para-pr/veiculo-truck/carroceria-aberto-grade-baixa/carga-completa/empresa-manetoni-solucoes-em-aco/98vg0o5hdis7jw5psud7seewk,SP - Piracicaba,PR - Maringá,03/10,03/10,540 km,"14,0 Ton",['Truck'],1
605,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-manetoni-solucoes-em-aco/4mpmfec2qchyftkogizlx3ep0",SP - Piracicaba,SP - Tupã,03/10,03/10,365 km,"30,1 Ton",['Carreta LS Trucada'],2
604,https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-toco/carroceria-aberto-grade-baixa/carga-completa/empresa-manetoni-solucoes-em-aco/5g41hzi9e4c33gt6j0lj1d3og,SP - Piracicaba,SP - Araçatuba,03/10,03/10,378 km,"11,6 Ton",['Toco'],3
603,https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-toco/carroceria-aberto-grade-baixa/carga-completa/empresa-manetoni-solucoes-em-aco/e4i2mjssyo3hqo41bmj5iz81u,SP - Piracicaba,SP - São José do Rio Preto,02/10,02/10,303 km,"7,5 Ton",['Toco'],4
602,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-manetoni-solucoes-em-aco/bze9wfnil7k6auj8tr14zeftk",SP - Piracicaba,SP - Araçatuba,02/10,02/10,466 km,"7,5 Ton",['Truck'],5
